layer_id,mean_magnitude,std_magnitude,max_magnitude,mean_attribution,std_attribution,max_attribution,n_samples
0,17.122579185854203,6.421858788675789,49.29726791381836,1.1754580977889031e-06,1.1383522835893247e-06,0.042725039243061674,1077
1,18.038707509124954,6.820081508023486,54.403350830078125,1.1850608109387753e-06,1.0707860150081573e-06,0.04201542662012157,1077
2,17.164794766913992,5.919248443630086,52.33156967163086,1.1956162609471033e-06,1.0610463913006737e-06,0.04637674358478828,1077
3,19.282784762156705,6.132219529697947,46.35388946533203,1.2411185074946609e-06,1.2086249001301458e-06,0.06505149045998893,1077
4,22.249807465818044,5.547952700637084,43.783477783203125,1.282305131057277e-06,1.2854080056961066e-06,0.08716448861673239,1077
5,23.733233226042938,5.251786680003724,45.615501403808594,1.3380793447793393e-06,1.200947791777609e-06,0.08839861573020175,1077
6,20.102287554585946,4.463201679173308,41.93470001220703,1.3026702839665155e-06,1.1407867134647362e-06,0.08266850440877947,1077
7,21.3893019880757,4.6518913698383235,42.62384033203125,1.3208738094005734e-06,1.1451210068870576e-06,0.1097809781831453,1077
8,20.381950388158376,5.137731655574059,41.004268646240234,1.3157555180895218e-06,1.1261355553016922e-06,0.12703427103734613,1077
9,18.090590355677413,3.3327409046548264,31.46863555908203,1.3141460622579402e-06,1.1288655108990873e-06,0.12363707330579435,1077
10,15.056534378420123,2.6046285419026516,25.581533432006836,1.3142705617358034e-06,1.1273938197893167e-06,0.10830691216743535,1077
11,6.776583985255178,0.8086838543088302,8.364763259887695,1.3143644555799372e-06,1.128239700254231e-06,0.06729050701139919,1077
